u,v,key,elevation,elevation_gain
590976,975913623,0,428.0,1.0
590978,1618703594,0,426.0,0.0
590978,1685134457,0,426.0,0.0
590983,11137497,0,424.0,0.0
590983,11137345,0,424.0,0.0
590984,590985,0,425.0,0.0
590985,630666506,0,430.0,-2.0
590985,975923557,0,428.0,-2.0
640753,7064879084,0,404.0,0.0
640757,59662928,0,409.0,-2.0
640757,247390039,0,407.0,-2.0
640758,640757,0,409.0,-7.0
640758,289158909,0,402.0,-7.0
640759,635978095,0,294.0,-1.0
640759,3201363941,0,295.0,-1.0
640759,3201363934,0,294.0,-1.0
640759,490694,0,293.0,-1.0
642427,256039505,0,426.0,0.0
642435,773297533,0,420.0,1.0
642435,3605341745,0,425.0,1.0
642435,60599873,0,420.0,1.0
642435,1601155223,0,421.0,1.0
643053,6375955824,0,303.0,-3.0
643053,2150696405,0,302.0,-3.0
643053,2911360947,0,302.0,-3.0
643053,3931953731,0,300.0,-3.0
643054,643996,0,310.0,-2.0
643054,2584130207,0,305.0,-2.0
643054,2150696405,0,305.0,-2.0
643054,293249254,0,308.0,-2.0
643055,7038303645,0,344.0,1.0
643055,643057,0,343.0,1.0
643055,10039005438,0,345.0,1.0
643057,7038303644,0,344.0,-1.0
643057,357367271,0,341.0,-1.0
643057,643055,0,343.0,-1.0
643058,7038303644,0,345.0,0.0
643061,280415481,0,460.0,0.0
643061,2948578216,0,460.0,0.0
643061,300121120,0,460.0,0.0
643061,1739340125,0,460.0,0.0
643063,5383193015,0,438.0,9.0
643063,5383193016,0,427.0,9.0
643063,300121120,0,447.0,9.0
643066,243887138,0,405.0,-1.0
643066,5345212289,0,408.0,-1.0
643066,5517266282,0,408.0,-1.0
643066,1238567631,0,408.0,-1.0
643066,1720809910,0,404.0,-1.0
643073,1739279878,0,412.0,0.0
643073,31231198,0,411.0,0.0
643073,2612075808,0,412.0,0.0
643078,643079,0,350.0,0.0
643079,266700431,0,345.0,5.0
643079,266699978,0,344.0,5.0
643079,643078,0,350.0,5.0
643081,294129270,0,330.0,8.0
643081,1658348743,0,326.0,8.0
643081,278160763,0,329.0,8.0
643081,266700431,0,338.0,8.0
643082,1658348703,0,318.0,0.0
643082,769429555,0,318.0,0.0
643083,471330052,0,317.0,0.0
643083,643082,0,317.0,0.0
643084,4033388060,0,302.0,3.0
643084,102985437,0,302.0,3.0
643084,3755110139,0,305.0,3.0
643679,643985,0,303.0,8.0
643679,2584130207,0,306.0,8.0
643679,643699,0,307.0,8.0
643679,1529460445,0,311.0,8.0
643697,660964,0,339.0,4.0
643697,7834534454,0,349.0,4.0
643697,2438929510,0,343.0,4.0
643699,2933335331,0,307.0,1.0
643699,645243,0,308.0,1.0
643699,645199,0,308.0,1.0
643704,8936609599,0,296.0,2.0
643704,1351977855,0,299.0,2.0
643704,31125826,0,298.0,2.0
643705,3829549474,0,304.0,1.0
643705,31125827,0,304.0,1.0
643705,643996,0,306.0,1.0
643705,6375955826,0,305.0,1.0
643707,1492904043,0,318.0,-8.0
643707,667105,0,315.0,-8.0
643707,657058,0,325.0,-8.0
643707,3829549474,0,310.0,-8.0
643708,2888593004,0,309.0,-2.0
643708,1279820092,0,309.0,-2.0
643708,1492904043,0,312.0,-2.0
643708,320837934,0,307.0,-2.0
643709,2888593004,0,305.0,0.0
643709,2886921609,0,303.0,0.0
643709,2909412980,0,305.0,0.0
643778,2610563176,0,432.0,-1.0
643778,643781,0,432.0,-1.0
643778,2610563149,0,431.0,-1.0
643781,643778,0,432.0,2.0
643781,5497999,0,434.0,2.0
643781,60034607,0,434.0,2.0
643783,5497956,0,433.0,0.0
643783,60034605,0,432.0,0.0
643783,282912951,0,431.0,0.0
643783,60034617,0,433.0,0.0
643784,5498085,0,431.0,-1.0
643784,60034617,0,433.0,-1.0
643784,5498041,0,430.0,-1.0
643784,643785,0,430.0,-1.0
643785,2594366977,0,430.0,0.0
643785,5498056,0,430.0,0.0
643785,643784,0,430.0,0.0
643810,2881111046,0,425.0,0.0
643810,2878719013,0,427.0,0.0
643810,643811,0,425.0,0.0
643811,8967641794,0,423.0,2.0
643811,280341481,0,422.0,2.0
643811,643810,0,425.0,2.0
643812,9785939958,0,423.0,0.0
643812,2367128548,0,423.0,0.0
643812,280341481,0,422.0,0.0
643812,6317526158,0,423.0,0.0
643815,6432778438,0,425.0,-1.0
643815,2367128548,0,423.0,-1.0
643815,2878825300,0,424.0,-1.0
643815,2878841080,0,424.0,-1.0
643816,5878129951,0,425.0,2.0
643816,5878075520,0,424.0,2.0
643816,168908286,0,424.0,2.0
643816,2879706272,0,427.0,2.0
643819,60015188,0,423.0,1.0
643819,643819,0,424.0,1.0
643819,643819,1,424.0,1.0
643912,270520396,0,440.0,-3.0
643912,1870384965,0,439.0,-3.0
643912,3605341763,0,437.0,-3.0
643915,1679641358,0,448.0,-1.0
643915,247693536,0,447.0,-1.0
643915,247693601,0,447.0,-1.0
643916,270520377,0,446.0,0.0
643916,3623066573,0,446.0,0.0
643916,247693536,0,446.0,0.0
643921,643925,0,439.0,3.0
643921,245026640,0,442.0,3.0
643921,69306258,0,442.0,3.0
643925,254017000,0,441.0,-2.0
643925,643921,0,439.0,-2.0
643925,643938,0,435.0,-2.0
643925,235908976,0,439.0,-2.0
643934,254017000,0,445.0,3.0
643934,254017003,0,449.0,3.0
643934,69306259,0,447.0,3.0
643934,254017008,0,448.0,3.0
643937,1113962842,0,460.0,-1.0
643937,254016995,0,459.0,-1.0
643937,76761714,0,461.0,-1.0
643937,76761711,0,459.0,-1.0
643938,245026515,0,431.0,4.0
643938,283431354,0,436.0,4.0
643938,643925,0,435.0,4.0
643940,5433667077,0,430.0,-3.0
643940,245026515,0,430.0,-3.0
643940,678631149,0,427.0,-3.0
643942,1870384973,0,434.0,1.0
643942,5433667077,0,432.0,1.0
643942,5424780523,0,435.0,1.0
643956,2535767345,0,462.0,2.0
643956,76761717,0,465.0,2.0
643956,1113962842,0,462.0,2.0
643956,1114889809,0,464.0,2.0
643958,1114047545,0,464.0,0.0
643958,2374127323,0,464.0,0.0
643958,1114048269,0,464.0,0.0
643984,3201363938,0,297.0,0.0
643984,2911360949,0,297.0,0.0
643984,8025105627,0,296.0,0.0
643984,10035933486,0,297.0,0.0
643985,643679,0,303.0,-4.0
643985,1349701334,0,297.0,-4.0
643985,643986,0,297.0,-4.0
643985,3931953731,0,299.0,-4.0
643986,2933335331,0,303.0,-4.0
643986,643985,0,297.0,-4.0
643986,1346945922,0,299.0,-4.0
643996,310089826,0,317.0,-11.0
643996,643054,0,310.0,-11.0
643996,667105,0,312.0,-11.0
643996,643705,0,306.0,-11.0
645175,645181,0,350.0,-4.0
645175,645191,0,350.0,-4.0
645175,10204161965,0,346.0,-4.0
645181,266839132,0,351.0,-5.0
645181,645175,0,350.0,-5.0
645181,659997,0,346.0,-5.0
